item_no,week,sold
020-307,0,0
020-307,1,80
020-307,2,0
020-307,3,0
020-307,4,0
020-307,5,0
020-307,6,0
020-307,7,0
020-307,8,80
020-307,9,0
020-307,10,0
020-307,11,80
020-307,12,0
020-307,13,0
020-307,14,0
020-307,15,0
020-307,16,0
020-307,17,0
020-307,18,0
020-307,19,80
020-307,20,0
020-307,21,80
020-307,22,0
020-307,23,0
020-307,24,0
020-307,25,0
020-307,26,0
020-307,27,0
020-307,28,0
020-307,29,0
020-307,30,80
020-307,31,0
020-307,32,0
020-307,33,80
020-307,34,0
020-307,35,0
020-307,36,0
020-307,37,0
020-307,38,0
020-307,39,0
020-307,40,0
020-307,41,0
020-307,42,0
020-307,43,80
020-307,44,0
020-307,45,0
020-307,46,160
020-307,47,0
020-307,48,80
020-307,49,0
020-307,50,0
020-307,51,0
020-307,52,0
020-307,53,0
020-502,0,0
020-502,1,0
020-502,2,0
020-502,3,0
020-502,4,84
020-502,5,0
020-502,6,0
020-502,7,84
020-502,8,0
020-502,9,0
020-502,10,0
020-502,11,0
020-502,12,0
020-502,13,0
020-502,14,84
020-502,15,0
020-502,16,0
020-502,17,0
020-502,18,24
020-502,19,0
020-502,20,84
020-502,21,0
020-502,22,0
020-502,23,0
020-502,24,0
020-502,25,0
020-502,26,0
020-502,27,0
020-502,28,84
020-502,29,18
020-502,30,0
020-502,31,0
020-502,32,0
020-502,33,0
020-502,34,0
020-502,35,36
020-502,36,0
020-502,37,0
020-502,38,0
020-502,39,84
020-502,40,0
020-502,41,0
020-502,42,0
020-502,43,55
020-502,44,0
020-502,45,0
020-502,46,0
020-502,47,0
020-502,48,0
020-502,49,0
020-502,50,0
020-502,51,84
020-502,52,0
020-502,53,0
025-207,0,0
025-207,1,100
025-207,2,0
025-207,3,0
025-207,4,0
025-207,5,0
025-207,6,0
025-207,7,0
025-207,8,100
025-207,9,0
025-207,10,0
025-207,11,100
025-207,12,0
025-207,13,0
025-207,14,0
025-207,15,0
025-207,16,0
025-207,17,0
025-207,18,0
025-207,19,100
025-207,20,0
025-207,21,100
025-207,22,0
025-207,23,0
025-207,24,0
025-207,25,0
025-207,26,0
025-207,27,0
025-207,28,0
025-207,29,0
025-207,30,100
025-207,31,0
025-207,32,0
025-207,33,100
025-207,34,0
025-207,35,0
025-207,36,0
025-207,37,100
025-207,38,0
025-207,39,0
025-207,40,0
025-207,41,0
025-207,42,0
025-207,43,100
025-207,44,0
025-207,45,0
025-207,46,200
025-207,47,0
025-207,48,100
025-207,49,0
025-207,50,0
025-207,51,0
025-207,52,0
025-207,53,0
02FR182024,0,0
02FR182024,1,0
02FR182024,2,0
02FR182024,3,0
02FR182024,4,0
02FR182024,5,0
02FR182024,6,0
02FR182024,7,0
02FR182024,8,0
02FR182024,9,0
02FR182024,10,0
02FR182024,11,0
02FR182024,12,0
02FR182024,13,0
02FR182024,14,0
02FR182024,15,0
02FR182024,16,0
02FR182024,17,0
02FR182024,18,0
02FR182024,19,0
02FR182024,20,0
02FR182024,21,0
02FR182024,22,0
02FR182024,23,0
02FR182024,24,0
02FR182024,25,0
02FR182024,26,0
02FR182024,27,0
02FR182024,28,0
02FR182024,29,0
02FR182024,30,0
02FR182024,31,0
02FR182024,32,0
02FR182024,33,0
02FR182024,34,0
02FR182024,35,0
02FR182024,36,0
02FR182024,37,0
02FR182024,38,0
02FR182024,39,0
02FR182024,40,0
02FR182024,41,0
02FR182024,42,0
02FR182024,43,0
02FR182024,44,0
02FR182024,45,0
02FR182024,46,0
02FR182024,47,0
02FR182024,48,0
02FR182024,49,0
02FR182024,50,0
02FR182024,51,0
02FR182024,52,0
02FR182024,53,720
04002032,0,0
04002032,1,0
04002032,2,0
04002032,3,284
04002032,4,88
04002032,5,440
